Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10
-1.2425,-2.2466,0.1068,0.5407,-6.3559,-0.7150,0.0675,0.6480,0.7992,0.1730,4.1965,1.1954,0.4077,-0.0863,-0.4167
-0.6923,-1.8317,-1.0083,-1.3724,-13.0756,-0.5175,0.4902,0.2060,0.6652,-0.0718,-4.2360,-1.8969,0.0334,-0.8220,0.1186
-1.3433,-0.7934,0.2255,-0.8808,-14.0626,-0.8310,5.2624,0.6556,1.2055,1.5557,-1.6982,1.5031,0.2903,0.3339,0.5661
-1.1365,3.2115,0.6785,2.4780,6.6975,-0.2313,-2.6626,-0.6424,0.0215,0.5957,-1.2283,-0.9138,-0.1433,-0.1234,-0.6123
5.0689,5.0624,0.6427,3.7194,12.7083,-0.7223,-2.6291,0.4260,0.0000,-0.0421,-1.3634,-1.1913,-0.7417,0.0000,-0.6651
-0.9061,-3.5225,-1.5398,-14.6833,-7.9358,-1.2957,-0.2456,-0.3514,-0.8038,-1.5323,3.4671,0.9447,0.1273,0.0327,0.1133
-0.5970,-3.0936,-1.6053,1.1053,-7.0449,0.5754,-0.8074,-0.6358,0.1679,-0.9627,4.2605,-0.9797,0.0000,-0.0842,-0.4197
4.8390,3.8371,0.5799,6.3513,14.3208,-0.7407,10.4344,0.8672,0.4847,0.7202,0.0000,1.0172,0.6294,0.3169,0.5809
-1.0652,0.7204,0.2373,0.7496,-3.9102,-1.0057,-0.3989,-0.1453,0.8691,0.4835,4.0165,0.2891,0.0298,-0.3685,0.0772
0.0599,-0.3223,0.7581,-0.1364,2.7852,1.6624,-1.7847,0.0773,0.1096,0.6136,0.5972,-1.9859,0.2032,-0.1791,0.4608
-0.0876,0.4476,1.1267,1.0666,8.8406,0.6194,-1.4940,-0.1728,-0.6774,0.4699,0.6982,0.3771,-0.0214,-0.0882,0.9042
-0.8584,-1.4106,-2.1851,-7.5890,-16.8989,0.3763,-0.5673,0.0000,1.4944,1.3528,-0.9717,1.2126,1.6884,-0.6362,1.0016
-1.5644,0.4483,-1.3567,-1.1811,-6.8982,0.4206,-0.6793,-0.6632,0.9598,-0.0319,4.1443,0.4045,-0.0257,0.0000,-0.4383
-1.4190,-0.7805,0.2333,-0.8815,-14.0104,-0.7890,5.2226,0.5661,1.2966,1.5425,-1.6389,1.5296,0.2274,0.2787,0.6112
-1.1792,0.0000,0.0000,-0.6902,-12.0955,0.7157,0.4944,0.3140,0.5121,-0.2690,-5.0285,1.5759,0.4237,0.3526,0.4795
-2.2081,-1.1845,0.2897,-1.2440,2.7922,0.5662,-2.6267,0.0646,0.0207,-0.6921,0.3809,-0.1269,-0.3703,-0.0705,1.2176
-2.1281,-0.7523,0.1265,0.4790,3.4186,-2.1156,-2.0906,0.0253,0.1757,-1.7050,-0.9168,0.8278,-0.6001,0.4320,-0.6441
4.8984,3.8046,0.5707,6.3120,14.3174,-0.6981,10.4471,0.9207,0.4418,0.7151,0.0000,1.0138,0.5631,0.3088,0.6228
