日期,Close,Open,High,Low,Volume,涨跌幅,涨跌情况（1为涨、0为跌）
2022/12/20,172.51,179.94,180.5,169.88,34.35,-4.13%,0
2022/12/21,174.49,175,175.67,173.55,15.39,1.15%,1
2022/12/22,179.5,176.03,181.55,174.67,24.44,2.87%,1
2022/12/23,180.29,177,183,176.4,19.86,0.44%,1
2022/12/26,178.6,180.29,181.2,177.56,17.83,-0.94%,0
2022/12/27,181.05,180,182.5,179.15,15.23,1.37%,1
2022/12/28,180.18,180.99,180.99,177.88,13.94,-0.48%,0
2022/12/29,178.75,179,180,176.74,16.85,-0.79%,0
2022/12/30,180.69,179.78,181.19,179,14.98,1.09%,1
2023/1/3,178.2,181,181.81,176.51,18.21,-1.38%,0
2023/1/4,178.62,178,180.5,176.3,12.88,0.24%,1
2023/1/5,189,181.5,189.51,180.4,40.28,5.81%,1
2023/1/6,190.46,191.11,191.11,187.78,23.34,0.77%,1
2023/1/9,195.88,192.45,196.89,190.16,27.56,2.85%,1
2023/1/10,195.24,195.8,196.71,194.61,20.28,-0.33%,0
2023/1/11,194.1,195.04,195.99,192.6,17,-0.58%,0
2023/1/12,193.39,195,195.77,192.01,13.82,-0.37%,0
2023/1/13,198.58,193.39,199.41,193.34,24.51,2.68%,1
2023/1/16,206.52,200,209.27,200,36.35,4.00%,1
2023/1/17,202.86,207,207.78,201.61,21.51,-1.77%,0
2023/1/18,205.8,204.93,211.79,204.32,27.24,1.45%,1
2023/1/19,205.3,206.45,206.5,202.35,18.12,-0.24%,0
2023/1/20,208.72,207.89,212,207.1,27.35,1.67%,1
2023/1/30,217.6,218.59,219.89,214.28,32.18,4.25%,1
2023/1/31,209,216.99,217.77,208.9,25.72,-3.95%,0
2023/2/1,210.06,208.5,210.6,203.76,25.66,0.51%,1
2023/2/2,212.51,211.69,214.5,210.15,18.33,1.17%,1
2023/2/3,210,210,212,206,19.94,-1.18%,0
2023/2/6,201.7,199.53,204.53,197.28,33.41,-3.95%,0
2023/2/7,203.17,201.7,205.3,201.5,15.81,0.73%,1
2023/2/8,199.55,203.17,204,198.22,16.91,-1.78%,0
